# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:56:50 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
441.0,-4.41229,400933536.098935,339.442,1.362948777949776e-09,1.6506220235932048e-79
443.45,-4.4118,401259896.627773,339.678,1.3640582203982168e-09,1.9067713905480155e-79
445.9,-4.41131,401586486.52486,339.914,1.3651684425698411e-09,2.2025094407562945e-79
448.35,-4.41082,401913305.91783,340.15,1.3662794448985414e-09,2.5439292003703436e-79
450.8,-4.41033,402240354.934363,340.387,1.3673912278183499e-09,2.9380574537616686e-79
453.25,-4.40984,402567633.702178,340.623,1.368503791763441e-09,3.3929972166567825e-79
455.7,-4.40935,402895142.349035,340.86,1.3696171371681304e-09,3.918091850831627e-79
458.15,-4.40886,403222881.002737,341.097,1.3707312644668757e-09,4.5241140927330487e-79
460.6,-4.40837,403550849.791128,341.334,1.371846174094275e-09,5.223483760914118e-79
463.05,-4.40788,403879048.842095,341.571,1.372961866485068e-09,6.030518473458285e-79
465.5,-4.40739,404207478.283564,341.808,1.3740783420741365e-09,6.961722357629511e-79
467.95,-4.4069,404536138.243505,342.046,1.3751956012965022e-09,8.036118482460314e-79
470.4,-4.40641,404865028.849928,342.284,1.3763136445873289e-09,9.275631605365725e-79
472.85,-4.40592,405194150.230884,342.522,1.377432472381922e-09,1.0705528812807125e-78
475.3,-4.40543,405523502.514468,342.76,1.3785520851157265e-09,1.2354926771640955e-78
477.75,-4.40494,405853085.828815,342.999,1.3796724832243301e-09,1.4257375614023632e-78
480.2,-4.40445,406182900.3021,343.237,1.3807936671434605e-09,1.6451530979789723e-78
482.65,-4.40396,406512946.062542,343.476,1.3819156373089864e-09,1.8981927464971046e-78
485.1,-4.40347,406843223.2384,343.715,1.3830383941569185e-09,2.1899868706837466e-78
487.55,-4.40298,407173731.957975,343.954,1.384161938123407e-09,2.52644516124579e-78
490.0,-4.40249,407504472.34961,344.194,1.3852862696447441e-09,2.9143744853168527e-78
492.45,-4.402,407835444.541688,344.433,1.386411389157362e-09,3.3616144751479194e-78
494.9,-4.40151,408166648.662634,344.673,1.3875372970978345e-09,3.877193513750904e-78
497.35,-4.40102,408498084.840915,344.913,1.3886639939028754e-09,4.471508171483055e-78
499.8,-4.40053,408829753.205039,345.153,1.3897914800093389e-09,5.156529602659108e-78
502.25,-4.40004,409161653.883554,345.394,1.3909197558542212e-09,5.946040933847503e-78
504.7,-4.39955,409493787.005053,345.634,1.3920488218746581e-09,6.855910275531577e-78
507.15,-4.39906,409826152.698166,345.875,1.393178678507926e-09,7.904404677709794e-78
509.6,-4.39857,410158751.091567,346.116,1.3943093261914425e-09,9.112551140845452e-78
512.05,-4.39808,410491582.313971,346.357,1.3954407653627645e-09,1.0504551701435442e-77
514.5,-4.39759,410824646.494134,346.599,1.3965729964595907e-09,1.2108260653466433e-77
516.95,-4.3971,411157943.760852,346.84,1.3977060199197577e-09,1.3955733163011933e-77
519.4,-4.39661,411491474.242965,347.082,1.3988398361812467e-09,1.6083855905755455e-77
521.85,-4.39612,411825238.069353,347.324,1.3999744456821754e-09,1.8535071932251022e-77
524.3,-4.39563,412159235.368936,347.566,1.4011098488608028e-09,2.1358213773011047e-77
526.75,-4.39514,412493466.270677,347.808,1.4022460461555288e-09,2.4609460869057523e-77
529.2,-4.39465,412827930.903579,348.051,1.403383038004893e-09,2.835343979252358e-77
531.65,-4.39416,413162629.396687,348.294,1.4045208248475747e-09,3.2664488450866732e-77
534.1,-4.39367,413497561.879087,348.536,1.4056594071223945e-09,3.762810859859984e-77
536.55,-4.39318,413832728.479906,348.78,1.4067987852683111e-09,4.3342634570919235e-77
539.0,-4.39269,414168129.328313,349.023,1.4079389597244257e-09,4.992115027135113e-77
541.45,-4.3922,414503764.553517,349.266,1.4090799309299768e-09,5.7493691167774694e-77
543.9,-4.39171,414839634.284769,349.51,1.4102216993243444e-09,6.620977346611279e-77
546.35,-4.39122,415175738.65136,349.754,1.4113642653470488e-09,7.624129883969735e-77
548.8,-4.39073,415512077.782624,349.998,1.4125076294377475e-09,8.778589021064399e-77
551.25,-4.39024,415848651.807934,350.242,1.413651792036241e-09,1.010707222400278e-76
553.7,-4.38975,416185460.856706,350.487,1.414796753582467e-09,1.163569195381678e-76
556.15,-4.38926,416522505.058395,350.732,1.4159425145165048e-09,1.3394460632860645e-76
558.6,-4.38877,416859784.5425,350.977,1.4170890752785721e-09,1.5417870358833064e-76
561.05,-4.38828,417197299.438558,351.222,1.418236436309026e-09,1.7745558377047507e-76
563.5,-4.38779,417535049.876149,351.467,1.4193845980483645e-09,2.0423070935461708e-76
565.95,-4.3873,417873035.984893,351.712,1.420533560937223e-09,2.3502739996243787e-76
568.4,-4.38681,418211257.894451,351.958,1.421683325416378e-09,2.7044689396407807e-76
570.85,-4.38632,418549715.734527,352.204,1.4228338919267447e-09,3.111798947749731e-76
573.3,-4.38583,418888409.634862,352.45,1.423985260909378e-09,3.580198198491312e-76
575.75,-4.38534,419227339.725243,352.696,1.4251374328054722e-09,4.118780022280331e-76
578.2,-4.38485,419566506.135494,352.943,1.4262904080563605e-09,4.73801130985136e-76
580.65,-4.38436,419905908.995481,353.189,1.4274441871035142e-09,5.449912586895827e-76
583.1,-4.38387,420245548.435112,353.436,1.4285987703885459e-09,6.268287518595888e-76
585.55,-4.38338,420585424.584335,353.683,1.4297541583532065e-09,7.208986151670061e-76
588.0,-4.38289,420925537.573139,353.931,1.4309103514393845e-09,8.290206828877792e-76
590.45,-4.3824,421265887.531553,354.178,1.43206735008911e-09,9.53284242917992e-76
592.9,-4.38191,421606474.589649,354.426,1.4332251547445501e-09,1.0960877408989108e-75
595.35,-4.38142,421947298.877538,354.674,1.4343837658480112e-09,1.2601843061164976e-75
597.8,-4.38093,422288360.525373,354.922,1.435543183841939e-09,1.448733948576907e-75
600.25,-4.38044,422629659.663347,355.17,1.4367034091689177e-09,1.6653633999599421e-75
602.7,-4.37995,422971196.421694,355.419,1.4378644422716702e-09,1.9142347122666196e-75
