# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
96.12,-4.40477,147473902.737801,308.653,1.380061376356871e-09,2.2909853957443005e-88
97.01,-4.40388,147691632.334847,308.74,1.3820988908037915e-09,2.4321044609936123e-88
97.9,-4.40299,147909639.291606,308.827,1.384139000784038e-09,2.5822548410841756e-88
98.79,-4.4021,148127923.887409,308.914,1.3861817089115683e-09,2.742029743001656e-88
99.68,-4.40121,148346486.401747,309.001,1.3882270178018734e-09,2.912062190615114e-88
100.57,-4.40032,148565327.114277,309.088,1.3902749300719767e-09,3.093027748581323e-88
101.46,-4.39943,148784446.304818,309.176,1.3923254483404318e-09,3.2856474358247536e-88
102.35,-4.39854,149003844.253354,309.263,1.394378575227322e-09,3.490690841995861e-88
103.24,-4.39765,149223521.24003,309.351,1.3964343133542605e-09,3.708979461272949e-88
104.13,-4.39676,149443477.545157,309.439,1.3984926653443886e-09,3.941390258905564e-88
105.02,-4.39587,149663713.449209,309.527,1.4005536338223757e-09,4.1888594870027306e-88
105.91,-4.39498,149884229.23282,309.615,1.402617221414416e-09,4.45238676725762e-88
106.8,-4.39409,150105025.176792,309.703,1.4046834307482321e-09,4.73303945957327e-88
107.69,-4.3932,150326101.562085,309.791,1.4067522644530686e-09,5.031957336924651e-88
108.58,-4.39231,150547458.669825,309.88,1.4088237251596962e-09,5.350357588251161e-88
109.47,-4.39142,150769096.7813,309.968,1.4108978155004069e-09,5.689540172759665e-88
110.36,-4.39053,150991016.17796,310.057,1.4129745381090156e-09,6.050893550694956e-88
111.25,-4.38964,151213217.141419,310.146,1.4150538956208589e-09,6.435900817460049e-88
112.14,-4.38875,151435699.953452,310.235,1.4171358906727932e-09,6.846146269901164e-88
113.03,-4.38786,151658464.895996,310.324,1.419220525903194e-09,7.283322435677028e-88
113.92,-4.38697,151881512.251152,310.413,1.421307803951955e-09,7.749237598858473e-88
114.81,-4.38608,152104842.301183,310.503,1.4233977274604894e-09,8.24582385732656e-88
115.7,-4.38519,152328455.328512,310.592,1.4254902990717248e-09,8.775145750107853e-88
116.59,-4.3843,152552351.615726,310.682,1.4275855214301059e-09,9.33940949556987e-88
117.48,-4.38341,152776531.445574,310.772,1.4296833971815914e-09,9.940972884378498e-88
118.37,-4.38252,153000995.100964,310.862,1.431783928973654e-09,1.0582355874306833e-87
119.26,-4.38163,153225742.86497,310.952,1.4338871194552797e-09,1.126625193744037e-87
120.15,-4.38074,153450775.020823,311.042,1.4359929712769666e-09,1.1995540213987663e-87
121.04,-4.37985,153676091.851919,311.132,1.4381014870907233e-09,1.27732985308907e-87
121.93,-4.37896,153901693.641814,311.223,1.440212669550069e-09,1.3602817347666724e-87
122.82,-4.37807,154127580.674226,311.313,1.442326521310031e-09,1.4487614696489314e-87
123.71,-4.37718,154353753.233032,311.404,1.4444430450271467e-09,1.5431452188438448e-87
124.6,-4.37629,154580211.602272,311.495,1.4465622433594587e-09,1.6438352163087568e-87
125.49,-4.3754,154806956.066148,311.586,1.4486841189665174e-09,1.7512616064308612e-87
126.38,-4.37451,155033986.909019,311.677,1.4508086745093782e-09,1.865884413121606e-87
127.27,-4.37362,155261304.415409,311.768,1.4529359126505995e-09,1.9881956499742619e-87
128.16,-4.37273,155488908.870001,311.859,1.4550658360542456e-09,2.118721581735079e-87
129.05,-4.37184,155716800.557637,311.951,1.4571984473858808e-09,2.2580251480926886e-87
129.94,-4.37095,155944979.763321,312.042,1.4593337493125723e-09,2.4067085616037674e-87
130.83,-4.37006,156173446.772218,312.134,1.4614717445028867e-09,2.565416092442102e-87
131.72,-4.36917,156402201.869652,312.226,1.4636124356268915e-09,2.7348370535977137e-87
132.61,-4.36828,156631245.341107,312.318,1.465755825356151e-09,2.9157090011573483e-87
133.5,-4.36739,156860577.472228,312.41,1.4679019163637282e-09,3.108821165381644e-87
134.39,-4.3665,157090198.54882,312.503,1.4700507113241825e-09,3.315018129456088e-87
135.28,-4.36561,157320108.856846,312.595,1.4722022129135678e-09,3.5352037740458586e-87
136.17,-4.36472,157550308.68243,312.688,1.4743564238094333e-09,3.770345507125073e-87
137.06,-4.36383,157780798.311857,312.78,1.4765133466908215e-09,4.021478800001683e-87
137.95,-4.36294,158011578.031569,312.873,1.4786729842382676e-09,4.289712052006278e-87
138.84,-4.36205,158242648.128169,312.966,1.4808353391337975e-09,4.576231807991788e-87
139.73,-4.36116,158474008.888417,313.059,1.4830004140609288e-09,4.882308354580654e-87
140.62,-4.36027,158705660.599236,313.153,1.4851682117046669e-09,5.2093017230311945e-87
141.51,-4.35938,158937603.547705,313.246,1.4873387347515065e-09,5.558668128671452e-87
142.4,-4.35849,159169838.021062,313.339,1.4895119858894297e-09,5.931966879086285e-87
